"Parish","Holding","X","Y","Cattle","Sheep","Infection","Cull","Classification","Exposed","Removed","xytmodes","k10","k20","k26","k30"
39,7000,322.3,547.4,3,0,0,0,0,0,0,22,6,12,10,29
50,61,335.5,534.2,63,2182,0,0,1,0,0,10,5,14,25,22
86,206,349.6,549.5,0,1087,0,0,1,0,0,17,7,1,19,1
394,32,358.9,524.6,238,295,0,0,1,0,0,3,8,15,5,8
392,15,353.4,528.3,439,0,0,0,1,0,0,6,8,15,7,12
152,74,346.8,543.5,430,4,0,0,1,0,0,8,9,20,17,20
50,84,334.1,538.6,39,401,0,0,1,0,0,12,5,11,14,10
68,37,333.4,548.5,30,0,0,0,0,0,0,1,3,7,23,25
50,32,330,539.1,73,2736,0,0,1,0,0,12,4,11,14,2
387,13,350.1,521,141,1728,0,0,1,0,0,6,8,15,9,6
72,48,343.3,550.9,45,0,0,0,0,0,0,8,9,13,26,23
159,7,355.5,543.8,270,2246,52,62,1,47,56,3,7,16,16,14
212,7003,325.186,548.072,13,17,0,0,0,0,0,7,6,12,10,3
163,76,339,521.5,40,1858,0,0,1,0,0,9,10,8,22,28
152,138,349.827,547.459,262,0,0,0,1,0,0,17,7,1,19,1
146,87,345.6,527.2,172,1199,0,0,1,0,0,11,10,4,1,27
210,15,320.8,549.3,90,32,0,0,0,0,0,7,6,12,10,19
72,59,344.4,550.9,0,1297,0,0,1,0,0,8,9,13,3,4
163,46,341.6,522.4,37,1098,0,0,1,0,0,11,10,8,22,28
387,25,350.3,521.8,51,526,0,0,1,0,0,6,8,15,9,6
146,74,347.4,530.5,58,1720,29,42,1,24,33,11,10,4,1,27
28,32,324.053,554.65,481,0,70,82,1,65,74,7,6,3,2,19
160,23,357,533.6,0,1778,0,0,1,0,0,20,2,5,20,24
137,1,324.5,526.4,164,0,0,0,1,0,0,21,1,6,21,11
